"(6,241):0.71428573"
"(33,619):0.8333333"
"(52,726):0.7"
"(138,529):0.7692308"
"(206,727):0.8"
"(342,608):0.75"
"(373,558):0.75"
"(476,900):0.71428573"
"(552,967):0.8333333"
"(616,657):0.71428573"
"(741,967):0.71428573"
